Time,Load Cell,Moving Forward,Relay Output
935.0,0.01888757,0.0,2.064
1013.0,-0.00341039,0.0,2.064
1091.0,0.01223378,0.0,1.376
1169.0,0.01705907,0.0,2.064
1247.0,0.00583387,0.0,1.376
1325.0,0.0179734,0.0,2.064
1403.0,0.00537671,0.0,2.064
1481.0,0.02447483,0.0,2.752
1559.0,0.01766867,0.0,1.72
1637.0,0.02005586,0.0,2.064
1716.0,0.01523057,0.0,1.72
1794.0,0.0199035,0.0,2.408
1872.0,0.02097019,0.0,2.752
1950.0,0.0132497,0.0,2.064
2028.0,0.02777642,0.0,2.064
2106.0,0.00893226,0.0,2.408
2184.0,-0.0070167,0.0,2.064
2262.0,0.03402389,0.0,2.064
2340.0,0.03768096,0.0,2.064
2419.0,0.02198596,0.0,2.408
2497.0,0.00598623,0.0,2.064
2575.0,0.02300189,0.0,2.064
2653.0,0.00471642,0.0,2.064
2731.0,-0.0181403,0.0,1.72
2809.0,0.00756085,0.0,2.064
2887.0,0.01451944,0.0,1.72
2965.0,0.00151651,0.0,2.064
3044.0,0.01883689,0.0,2.064
3122.0,0.00852594,0.0,2.064
3200.0,-0.00401991,0.0,2.408
3278.0,0.01512897,0.0,2.064
3356.0,0.00034829,0.0,2.064
3434.0,0.02447483,0.0,2.064
3512.0,0.00583387,0.0,2.064
3590.0,0.01411312,0.0,1.72
3668.0,0.01985274,0.0,2.064
3747.0,0.02163048,0.0,2.064
3825.0,0.00984659,0.0,1.72
3903.0,0.00679888,0.0,2.408
3981.0,0.01187829,0.0,2.064
4059.0,0.00842434,0.0,2.408
4137.0,0.02792878,0.0,2.064
4215.0,0.00547831,0.0,2.064
4293.0,0.04047456,0.0,1.72
4371.0,0.00537671,0.0,2.064
4449.0,0.00243076,0.0,1.72
4528.0,0.01563689,0.0,1.72
4606.0,0.04331891,0.0,2.064
4684.0,0.00923699,0.0,1.376
4762.0,0.03183982,0.0,2.064
4840.0,0.00060225,0.0,2.064
4918.0,0.01639878,0.0,2.064
4996.0,0.0239669,0.0,1.72
5074.0,0.02716682,0.0,2.064
5153.0,0.02259549,0.0,2.064
5231.0,0.01888757,0.0,2.408
5309.0,0.01710998,0.0,2.064
5387.0,0.00354828,0.0,2.064
5465.0,0.04088096,0.0,1.72
5543.0,0.02533832,0.0,2.064
5621.0,0.01340199,0.0,2.408
5699.0,0.01487501,0.0,2.064
5778.0,0.0197003,0.0,1.72
5856.0,0.00715445,0.0,2.064
5934.0,0.01512897,0.0,2.064
6012.0,0.00502115,0.0,1.72
6090.0,0.01705907,0.0,2.064
6168.0,-0.00244537,0.0,1.72
6246.0,0.04240466,0.0,2.064
6324.0,0.01792256,0.0,1.72
6402.0,0.02366218,0.0,1.72
6481.0,0.02721765,0.0,2.064
6559.0,0.01777027,0.0,2.064
6637.0,0.01482417,0.0,2.064
6715.0,0.00542762,0.0,2.064
6793.0,0.01629718,0.0,2.064
6871.0,0.0174654,0.0,2.064
