Time,Load Cell,Moving Forward,Relay Output
932.0,-0.00097236,0.0,3.096
990.0,0.00832266,0.0,1.72
1068.0,0.00253236,0.0,1.72
1146.0,0.00481802,0.0,1.376
1224.0,0.00085622,0.0,1.376
1302.0,-0.00528973,0.0,1.72
1380.0,0.00182131,0.0,1.376
1458.0,-0.01676896,0.0,2.064
1537.0,0.00070385,0.0,1.72
1615.0,0.01208134,0.0,1.72
1693.0,-0.00198821,0.0,2.064
1771.0,-0.00229294,0.0,2.408
1849.0,-0.00163265,0.0,2.064
1927.0,0.00075462,0.0,1.72
2005.0,-0.00483264,0.0,1.376
2084.0,-0.00808332,0.0,1.72
2162.0,-0.016007,0.0,1.72
2240.0,-0.01854663,0.0,1.72
2318.0,-0.01250221,0.0,1.376
2396.0,-0.01895303,0.0,1.032
2474.0,-0.0046802,0.0,2.408
2552.0,0.00578318,0.0,1.72
2630.0,-0.0122484,0.0,2.064
2708.0,-0.02235607,0.0,1.72
2786.0,-0.01661653,0.0,1.376
2865.0,4.349e-05,0.0,2.064
2943.0,0.00334508,0.0,1.72
3021.0,-0.01052134,0.0,1.72
3099.0,-0.01732758,0.0,1.376
3177.0,-0.00371511,0.0,1.72
3255.0,0.01167509,0.0,2.064
3333.0,-0.01082622,0.0,1.376
3411.0,-0.01326417,0.0,1.376
3489.0,-0.00930229,0.0,1.376
3568.0,0.0085767,0.0,1.72
3646.0,0.0132497,0.0,1.72
3724.0,-0.0068135,0.0,1.72
3802.0,-0.00320719,0.0,1.376
3880.0,0.01050688,0.0,1.72
3958.0,0.0067482,0.0,1.72
4036.0,-0.01179123,0.0,1.72
4115.0,0.0203099,0.0,1.032
4193.0,0.00578318,0.0,1.032
4271.0,0.01594169,0.0,1.376
4349.0,-0.00280086,0.0,1.72
4427.0,0.0245765,0.0,1.032
4505.0,-0.0133657,0.0,1.72
4583.0,-0.03327662,0.0,1.72
4661.0,0.0110148,0.0,1.72
4739.0,-0.00655954,0.0,1.376
4818.0,0.00471642,0.0,1.72
4896.0,-0.00188661,0.0,1.72
4974.0,-0.01448322,0.0,2.408
5052.0,-0.02403236,0.0,2.064
5130.0,-0.01062294,0.0,2.752
